t,vx_cmd,vy_cmd,wz_cmd,tilt_rad,height,hip_spread,tau_max,q_err_max
0.000,0.000,0.000,0.000,0.1418,0.2265,0.1309,9.73,0.9844
0.021,0.000,0.000,0.000,0.1406,0.2262,0.1288,39.37,1.0075
0.041,0.000,0.000,0.000,0.1302,0.2263,0.1317,36.90,0.9239
0.060,0.000,0.000,0.000,0.1117,0.2285,0.1437,30.42,0.7550
0.082,0.000,0.000,0.000,0.0870,0.2348,0.1424,20.07,0.6143
0.100,0.000,0.000,0.000,0.0746,0.2403,0.1303,13.90,0.6891
0.120,0.000,0.000,0.000,0.0663,0.2487,0.1112,12.76,0.6085
0.142,0.000,0.000,0.000,0.0668,0.2518,0.1013,11.78,0.4506
0.160,0.000,0.000,0.000,0.0669,0.2603,0.0880,9.94,0.4412
0.181,0.000,0.000,0.000,0.0515,0.2659,0.0778,6.47,0.4142
0.200,0.000,0.000,0.000,0.0461,0.2675,0.0747,6.04,0.3686
0.221,0.000,0.000,0.000,0.0223,0.2724,0.0717,12.78,0.2538
0.240,0.000,0.000,0.000,0.0236,0.2738,0.0715,5.94,0.3321
0.262,0.000,0.000,0.000,0.0388,0.2766,0.0873,12.97,0.4261
0.281,0.000,0.000,0.000,0.0282,0.2764,0.0931,15.35,0.1942
0.301,0.000,0.000,0.000,0.0170,0.2772,0.1011,7.20,0.4601
0.322,0.000,0.000,0.000,0.0171,0.2771,0.1021,18.70,0.2227
0.340,0.000,0.000,0.000,0.0364,0.2779,0.1047,5.57,0.3074
0.360,0.000,0.000,0.000,0.0470,0.2792,0.1057,13.57,0.4412
0.382,0.000,0.000,0.000,0.0094,0.2789,0.1048,15.70,0.2074
0.401,0.000,0.000,0.000,0.0200,0.2798,0.1088,9.50,0.3471
0.420,0.000,0.000,0.000,0.0136,0.2792,0.1072,12.80,0.1325
0.442,0.000,0.000,0.000,0.0169,0.2791,0.1065,4.57,0.2387
0.461,0.000,0.000,0.000,0.0192,0.2794,0.1054,10.10,0.1966
0.481,0.000,0.000,0.000,0.0052,0.2789,0.1055,7.53,0.2066
0.501,0.000,0.000,0.000,0.0062,0.2779,0.1052,9.30,0.1701
0.522,0.000,0.000,0.000,0.0070,0.2770,0.1052,6.34,0.1286
