rollout,segment,t,vx_cmd,vy_cmd,wz_cmd,vx_med,wz_med,tilt_rad,height,power_W,tau_max
1,0,0.004,0.0,0.0,0.0,0.0000,-0.0000,0.0788,0.2289,0.15,8.59
1,0,0.023,0.0,0.0,0.0,0.0011,0.0246,0.0781,0.2290,17.86,21.13
1,0,0.042,0.0,0.0,0.0,0.0185,0.0973,0.0727,0.2296,55.34,20.39
1,0,0.065,0.0,0.0,0.0,0.0348,0.1847,0.0606,0.2318,69.17,17.23
1,0,0.081,0.0,0.0,0.0,0.0701,0.2143,0.0514,0.2338,66.35,14.24
1,0,0.101,0.0,0.0,0.0,0.1008,0.1822,0.0427,0.2368,44.50,11.14
1,0,0.123,0.0,0.0,0.0,0.0719,0.1262,0.0391,0.2395,43.28,10.81
1,0,0.142,0.0,0.0,0.0,0.1440,0.0711,0.0369,0.2427,39.05,9.57
1,0,0.164,0.0,0.0,0.0,0.1210,0.0515,0.0353,0.2448,32.60,9.48
1,0,0.190,0.0,0.0,0.0,0.1452,0.0527,0.0329,0.2472,23.80,9.44
1,0,0.205,0.0,0.0,0.0,0.2168,0.0479,0.0309,0.2486,21.51,9.36
1,0,0.223,0.0,0.0,0.0,0.2205,0.0470,0.0286,0.2497,17.30,9.22
1,0,0.242,0.0,0.0,0.0,0.1521,0.0499,0.0261,0.2504,15.48,9.17
1,0,0.266,0.0,0.0,0.0,0.1685,0.0585,0.0229,0.2512,13.71,9.17
1,0,0.283,0.0,0.0,0.0,0.2149,0.0663,0.0193,0.2517,12.45,9.15
1,0,0.303,0.0,0.0,0.0,0.2001,0.0699,0.0165,0.2519,11.20,9.05
1,0,0.322,0.0,0.0,0.0,0.2419,0.0724,0.0132,0.2521,9.80,8.94
1,0,0.346,0.0,0.0,0.0,0.2046,0.0713,0.0111,0.2522,8.85,8.83
1,0,0.366,0.0,0.0,0.0,0.1221,0.0691,0.0091,0.2524,8.24,8.77
1,0,0.385,0.0,0.0,0.0,0.1973,0.0657,0.0069,0.2525,7.76,8.70
1,0,0.405,0.0,0.0,0.0,0.1527,0.0566,0.0041,0.2527,7.78,8.61
1,0,0.425,0.0,0.0,0.0,0.1320,0.0501,0.0021,0.2528,7.42,8.48
1,0,0.444,0.0,0.0,0.0,0.1722,0.0421,0.0012,0.2530,6.83,8.37
1,0,0.467,0.0,0.0,0.0,0.1067,0.0375,0.0029,0.2531,6.53,8.29
1,0,0.486,0.0,0.0,0.0,0.0711,0.0340,0.0040,0.2532,6.60,8.27
1,0,0.503,0.0,0.0,0.0,0.1235,0.0262,0.0061,0.2533,5.93,8.15
1,0,0.525,0.0,0.0,0.0,0.0915,0.0204,0.0074,0.2533,5.53,8.10
1,0,0.552,0.0,0.0,0.0,0.0385,0.0171,0.0082,0.2533,5.45,8.11
1,0,0.567,0.0,0.0,0.0,0.0338,0.0143,0.0088,0.2533,5.29,8.06
1,0,0.590,0.0,0.0,0.0,0.0463,0.0072,0.0102,0.2534,4.34,7.94
1,0,0.610,0.0,0.0,0.0,0.0242,0.0048,0.0106,0.2534,4.03,7.87
1,0,0.630,0.0,0.0,0.0,0.0361,0.0017,0.0111,0.2534,3.64,7.79
1,0,0.647,0.0,0.0,0.0,0.0222,-0.0001,0.0114,0.2534,3.10,7.69
1,0,0.670,0.0,0.0,0.0,0.0055,-0.0014,0.0116,0.2534,2.32,7.65
1,0,0.685,0.0,0.0,0.0,-0.0011,-0.0011,0.0116,0.2534,1.55,7.66
1,0,0.704,0.0,0.0,0.0,-0.0054,0.0006,0.0116,0.2533,0.89,7.67
1,0,0.727,0.0,0.0,0.0,-0.0075,0.0018,0.0116,0.2533,0.75,7.68
1,0,0.741,0.0,0.0,0.0,-0.0106,0.0028,0.0116,0.2533,0.70,7.66
1,0,0.765,0.0,0.0,0.0,-0.0128,0.0028,0.0116,0.2533,0.70,7.65
1,0,0.787,0.0,0.0,0.0,-0.0077,0.0027,0.0115,0.2532,0.69,7.64
1,0,0.805,0.0,0.0,0.0,-0.0070,0.0026,0.0115,0.2532,0.66,7.64
1,0,0.825,0.0,0.0,0.0,-0.0104,0.0024,0.0114,0.2532,0.59,7.62
1,0,0.841,0.0,0.0,0.0,-0.0097,0.0022,0.0114,0.2532,0.51,7.61
1,0,0.869,0.0,0.0,0.0,-0.0073,0.0019,0.0113,0.2532,0.42,7.61
1,0,0.885,0.0,0.0,0.0,-0.0060,0.0018,0.0113,0.2532,0.39,7.60
1,0,0.905,0.0,0.0,0.0,-0.0041,0.0016,0.0113,0.2531,0.34,7.60
1,0,0.925,0.0,0.0,0.0,-0.0041,0.0014,0.0112,0.2531,0.31,7.60
1,0,0.942,0.0,0.0,0.0,-0.0042,0.0012,0.0112,0.2531,0.26,7.59
1,0,0.962,0.0,0.0,0.0,-0.0022,0.0010,0.0112,0.2531,0.23,7.59
1,0,0.985,0.0,0.0,0.0,-0.0022,0.0009,0.0111,0.2531,0.21,7.58
1,0,1.007,0.0,0.0,0.0,-0.0020,0.0008,0.0111,0.2531,0.18,7.58
1,0,1.025,0.0,0.0,0.0,-0.0013,0.0008,0.0111,0.2531,0.18,7.58
1,0,1.043,0.0,0.0,0.0,-0.0021,0.0008,0.0110,0.2531,0.17,7.58
1,0,1.066,0.0,0.0,0.0,-0.0018,0.0007,0.0110,0.2531,0.16,7.57
1,0,1.085,0.0,0.0,0.0,-0.0013,0.0007,0.0110,0.2531,0.15,7.57
1,0,1.106,0.0,0.0,0.0,-0.0015,0.0007,0.0109,0.2531,0.15,7.57
1,0,1.123,0.0,0.0,0.0,-0.0020,0.0007,0.0109,0.2531,0.14,7.57
1,0,1.141,0.0,0.0,0.0,-0.0014,0.0007,0.0109,0.2531,0.14,7.56
1,0,1.164,0.0,0.0,0.0,-0.0018,0.0007,0.0108,0.2531,0.13,7.56
1,0,1.186,0.0,0.0,0.0,-0.0014,0.0007,0.0108,0.2531,0.13,7.56
1,0,1.201,0.0,0.0,0.0,-0.0013,0.0007,0.0108,0.2531,0.13,7.56
1,0,1.221,0.0,0.0,0.0,-0.0016,0.0007,0.0107,0.2531,0.12,7.55
1,0,1.241,0.0,0.0,0.0,-0.0016,0.0006,0.0107,0.2531,0.12,7.55
1,0,1.262,0.0,0.0,0.0,-0.0007,0.0006,0.0107,0.2531,0.11,7.55
1,0,1.285,0.0,0.0,0.0,-0.0019,0.0006,0.0107,0.2531,0.11,7.55
1,0,1.305,0.0,0.0,0.0,-0.0011,0.0006,0.0106,0.2531,0.11,7.55
1,0,1.325,0.0,0.0,0.0,-0.0014,0.0006,0.0106,0.2531,0.11,7.54
1,0,1.342,0.0,0.0,0.0,-0.0013,0.0006,0.0106,0.2531,0.10,7.54
1,0,1.362,0.0,0.0,0.0,-0.0013,0.0006,0.0105,0.2531,0.10,7.54
1,0,1.385,0.0,0.0,0.0,-0.0010,0.0006,0.0105,0.2531,0.10,7.54
1,0,1.405,0.0,0.0,0.0,-0.0008,0.0006,0.0105,0.2531,0.09,7.54
1,0,1.424,0.0,0.0,0.0,-0.0015,0.0006,0.0104,0.2531,0.09,7.53
1,0,1.444,0.0,0.0,0.0,-0.0011,0.0006,0.0104,0.2531,0.09,7.53
1,0,1.462,0.0,0.0,0.0,-0.0011,0.0006,0.0104,0.2531,0.09,7.53
1,0,1.485,0.0,0.0,0.0,-0.0009,0.0006,0.0104,0.2531,0.08,7.53
1,0,1.505,0.0,0.0,0.0,-0.0011,0.0006,0.0103,0.2531,0.08,7.53
1,0,1.523,0.0,0.0,0.0,-0.0011,0.0006,0.0103,0.2531,0.08,7.52
1,0,1.544,0.0,0.0,0.0,-0.0011,0.0006,0.0103,0.2532,0.08,7.52
1,0,1.562,0.0,0.0,0.0,-0.0012,0.0006,0.0102,0.2532,0.08,7.52
1,0,1.587,0.0,0.0,0.0,-0.0010,0.0006,0.0102,0.2532,0.07,7.52
1,0,1.607,0.0,0.0,0.0,-0.0006,0.0006,0.0102,0.2532,0.07,7.52
1,0,1.626,0.0,0.0,0.0,-0.0011,0.0006,0.0102,0.2532,0.07,7.52
1,0,1.641,0.0,0.0,0.0,-0.0013,0.0006,0.0101,0.2532,0.07,7.51
1,0,1.661,0.0,0.0,0.0,-0.0009,0.0006,0.0101,0.2532,0.07,7.51
1,0,1.685,0.0,0.0,0.0,-0.0010,0.0006,0.0101,0.2532,0.07,7.51
1,0,1.704,0.0,0.0,0.0,-0.0008,0.0006,0.0101,0.2532,0.06,7.51
1,0,1.724,0.0,0.0,0.0,-0.0011,0.0006,0.0100,0.2532,0.06,7.51
1,0,1.744,0.0,0.0,0.0,-0.0008,0.0006,0.0100,0.2532,0.06,7.51
1,0,1.761,0.0,0.0,0.0,-0.0009,0.0006,0.0100,0.2532,0.06,7.50
1,0,1.782,0.0,0.0,0.0,-0.0005,0.0006,0.0100,0.2532,0.06,7.50
1,0,1.804,0.0,0.0,0.0,-0.0010,0.0006,0.0100,0.2532,0.06,7.50
1,0,1.824,0.0,0.0,0.0,-0.0010,0.0006,0.0099,0.2532,0.06,7.50
1,0,1.848,0.0,0.0,0.0,-0.0006,0.0006,0.0099,0.2532,0.06,7.50
1,0,1.862,0.0,0.0,0.0,-0.0008,0.0006,0.0099,0.2532,0.06,7.50
1,0,1.886,0.0,0.0,0.0,-0.0008,0.0006,0.0099,0.2532,0.05,7.50
1,0,1.904,0.0,0.0,0.0,-0.0007,0.0006,0.0098,0.2532,0.05,7.49
1,0,1.925,0.0,0.0,0.0,-0.0009,0.0006,0.0098,0.2532,0.05,7.49
1,0,1.944,0.0,0.0,0.0,-0.0010,0.0006,0.0098,0.2532,0.05,7.49
1,0,1.961,0.0,0.0,0.0,-0.0003,0.0006,0.0098,0.2532,0.05,7.49
1,0,1.985,0.0,0.0,0.0,-0.0009,0.0005,0.0098,0.2532,0.05,7.49
1,0,2.008,0.0,0.0,0.0,-0.0008,0.0005,0.0097,0.2532,0.05,7.49
1,0,2.024,0.0,0.0,0.0,-0.0004,0.0005,0.0097,0.2532,0.05,7.49
1,0,2.044,0.0,0.0,0.0,-0.0011,0.0005,0.0097,0.2532,0.05,7.48
1,0,2.061,0.0,0.0,0.0,-0.0007,0.0005,0.0097,0.2532,0.05,7.48
1,0,2.082,0.0,0.0,0.0,-0.0004,0.0005,0.0097,0.2532,0.05,7.48
1,0,2.105,0.0,0.0,0.0,-0.0008,0.0005,0.0097,0.2532,0.05,7.48
1,0,2.126,0.0,0.0,0.0,-0.0008,0.0005,0.0096,0.2532,0.05,7.48
1,0,2.144,0.0,0.0,0.0,-0.0007,0.0005,0.0096,0.2532,0.05,7.48
1,0,2.163,0.0,0.0,0.0,-0.0005,0.0005,0.0096,0.2532,0.04,7.48
1,0,2.184,0.0,0.0,0.0,-0.0009,0.0005,0.0096,0.2532,0.04,7.48
1,0,2.202,0.0,0.0,0.0,-0.0006,0.0005,0.0096,0.2532,0.04,7.47
1,0,2.228,0.0,0.0,0.0,-0.0008,0.0005,0.0095,0.2531,0.04,7.47
1,0,2.244,0.0,0.0,0.0,-0.0006,0.0005,0.0095,0.2531,0.04,7.47
1,0,2.262,0.0,0.0,0.0,-0.0005,0.0005,0.0095,0.2531,0.04,7.47
1,0,2.284,0.0,0.0,0.0,-0.0011,0.0005,0.0095,0.2531,0.04,7.47
1,0,2.308,0.0,0.0,0.0,-0.0005,0.0005,0.0095,0.2531,0.04,7.47
1,0,2.326,0.0,0.0,0.0,-0.0008,0.0005,0.0095,0.2531,0.04,7.47
1,0,2.346,0.0,0.0,0.0,-0.0006,0.0005,0.0095,0.2531,0.04,7.47
1,0,2.362,0.0,0.0,0.0,-0.0009,0.0005,0.0094,0.2531,0.04,7.46
1,0,2.382,0.0,0.0,0.0,-0.0004,0.0005,0.0094,0.2531,0.04,7.46
1,0,2.405,0.0,0.0,0.0,-0.0007,0.0005,0.0094,0.2531,0.04,7.46
1,0,2.424,0.0,0.0,0.0,-0.0006,0.0005,0.0094,0.2531,0.04,7.46
1,0,2.446,0.0,0.0,0.0,-0.0004,0.0005,0.0094,0.2531,0.04,7.46
1,0,2.464,0.0,0.0,0.0,-0.0008,0.0005,0.0094,0.2531,0.04,7.46
1,0,2.487,0.0,0.0,0.0,-0.0006,0.0005,0.0094,0.2531,0.04,7.46
1,0,2.502,0.0,0.0,0.0,-0.0005,0.0005,0.0094,0.2531,0.04,7.46
1,0,2.525,0.0,0.0,0.0,-0.0008,0.0005,0.0093,0.2531,0.04,7.46
1,0,2.544,0.0,0.0,0.0,-0.0006,0.0005,0.0093,0.2531,0.04,7.45
1,0,2.562,0.0,0.0,0.0,-0.0004,0.0005,0.0093,0.2531,0.04,7.45
1,0,2.586,0.0,0.0,0.0,-0.0007,0.0005,0.0093,0.2531,0.04,7.45
1,0,2.605,0.0,0.0,0.0,-0.0007,0.0005,0.0093,0.2531,0.04,7.45
1,0,2.627,0.0,0.0,0.0,-0.0004,0.0005,0.0093,0.2531,0.04,7.45
1,0,2.645,0.0,0.0,0.0,-0.0006,0.0005,0.0093,0.2531,0.04,7.45
1,0,2.661,0.0,0.0,0.0,-0.0006,0.0005,0.0093,0.2531,0.04,7.45
1,0,2.681,0.0,0.0,0.0,-0.0005,0.0005,0.0092,0.2531,0.04,7.45
1,0,2.706,0.0,0.0,0.0,-0.0007,0.0005,0.0092,0.2531,0.04,7.45
1,0,2.727,0.0,0.0,0.0,-0.0006,0.0005,0.0092,0.2531,0.04,7.45
1,0,2.745,0.0,0.0,0.0,-0.0002,0.0005,0.0092,0.2531,0.04,7.44
1,0,2.764,0.0,0.0,0.0,-0.0006,0.0005,0.0092,0.2531,0.04,7.44
1,0,2.782,0.0,0.0,0.0,-0.0007,0.0005,0.0092,0.2531,0.04,7.44
1,0,2.810,0.0,0.0,0.0,-0.0003,0.0005,0.0092,0.2531,0.04,7.44
1,0,2.825,0.0,0.0,0.0,-0.0009,0.0005,0.0092,0.2531,0.04,7.44
1,0,2.844,0.0,0.0,0.0,-0.0005,0.0005,0.0092,0.2531,0.04,7.44
1,0,2.863,0.0,0.0,0.0,-0.0004,0.0005,0.0092,0.2531,0.04,7.44
1,0,2.881,0.0,0.0,0.0,-0.0009,0.0005,0.0091,0.2531,0.04,7.44
1,0,2.904,0.0,0.0,0.0,-0.0006,0.0005,0.0091,0.2531,0.04,7.44
1,0,2.924,0.0,0.0,0.0,-0.0003,0.0005,0.0091,0.2531,0.04,7.44
1,0,2.942,0.0,0.0,0.0,-0.0009,0.0005,0.0091,0.2531,0.04,7.44
1,0,2.961,0.0,0.0,0.0,-0.0006,0.0005,0.0091,0.2531,0.04,7.43
1,0,2.982,0.0,0.0,0.0,-0.0005,0.0005,0.0091,0.2531,0.04,7.43
1,1,3.009,0.3,0.0,0.0,0.0000,0.0005,0.0091,0.2531,0.04,7.43
1,1,3.022,0.3,0.0,0.0,-0.0008,0.0005,0.0091,0.2531,0.04,9.93
1,1,3.043,0.3,0.0,0.0,0.0027,0.0020,0.0092,0.2532,2.22,11.92
1,1,3.061,0.3,0.0,0.0,0.0134,0.0059,0.0105,0.2531,11.46,12.50
1,1,3.081,0.3,0.0,0.0,0.0296,0.0104,0.0126,0.2527,18.59,12.76
1,1,3.102,0.3,0.0,0.0,0.0386,0.0277,0.0170,0.2520,18.13,12.57
1,1,3.121,0.3,0.0,0.0,0.0297,0.0550,0.0209,0.2510,13.67,12.38
1,1,3.141,0.3,0.0,0.0,0.0499,0.0652,0.0232,0.2507,8.59,12.38
