rollout,segment,t,vx_cmd,vy_cmd,wz_cmd,vx_med,wz_med,tilt_rad,height,power_W,tau_max
1,0,0.003,0.0,0.0,0.0,0.0000,-0.0000,0.0926,0.2286,0.10,8.83
1,0,0.024,0.0,0.0,0.0,0.0014,-0.0422,0.0919,0.2287,34.79,23.71
1,0,0.048,0.0,0.0,0.0,0.0156,-0.2004,0.0841,0.2307,109.24,22.05
1,0,0.066,0.0,0.0,0.0,0.0488,-0.3207,0.0739,0.2335,116.56,15.51
1,0,0.085,0.0,0.0,0.0,0.0974,-0.3260,0.0704,0.2362,86.94,14.75
1,0,0.106,0.0,0.0,0.0,0.0670,-0.2892,0.0665,0.2385,86.81,14.42
1,0,0.129,0.0,0.0,0.0,0.1160,-0.3048,0.0620,0.2437,109.90,13.24
1,0,0.149,0.0,0.0,0.0,0.1092,-0.1914,0.0579,0.2467,79.84,13.30
1,0,0.168,0.0,0.0,0.0,0.1824,-0.0402,0.0577,0.2503,76.14,11.94
1,0,0.183,0.0,0.0,0.0,0.1566,0.1097,0.0538,0.2531,79.03,8.98
1,0,0.202,0.0,0.0,0.0,0.2178,0.0576,0.0379,0.2572,47.31,6.47
1,0,0.229,0.0,0.0,0.0,0.1455,-0.0906,0.0308,0.2600,25.93,7.81
1,0,0.247,0.0,0.0,0.0,0.1630,-0.0986,0.0288,0.2608,24.76,7.37
1,0,0.268,0.0,0.0,0.0,0.1786,-0.0255,0.0292,0.2629,23.94,6.06
1,0,0.288,0.0,0.0,0.0,0.1589,0.0529,0.0292,0.2642,12.30,9.34
1,0,0.303,0.0,0.0,0.0,0.2053,0.0802,0.0203,0.2644,19.18,11.07
1,0,0.324,0.0,0.0,0.0,0.1999,0.0515,0.0206,0.2647,21.20,7.70
1,0,0.346,0.0,0.0,0.0,0.0862,-0.0029,0.0187,0.2655,17.43,12.16
1,0,0.368,0.0,0.0,0.0,0.1513,-0.0058,0.0230,0.2656,11.11,6.38
1,0,0.382,0.0,0.0,0.0,0.1309,0.0116,0.0268,0.2657,6.50,7.09
1,0,0.408,0.0,0.0,0.0,0.0831,0.0539,0.0145,0.2656,22.85,11.04
1,0,0.432,0.0,0.0,0.0,0.0798,0.0474,0.0220,0.2663,10.36,6.71
1,0,0.446,0.0,0.0,0.0,0.0835,0.0319,0.0220,0.2666,7.30,6.22
1,0,0.471,0.0,0.0,0.0,0.0588,0.0081,0.0041,0.2668,24.04,10.64
1,0,0.485,0.0,0.0,0.0,0.0550,0.0129,0.0219,0.2672,10.46,7.14
1,0,0.502,0.0,0.0,0.0,0.0171,0.0306,0.0182,0.2675,23.59,11.76
1,0,0.530,0.0,0.0,0.0,0.0195,0.0387,0.0029,0.2674,25.89,11.11
1,0,0.548,0.0,0.0,0.0,0.0105,0.0233,0.0135,0.2677,2.51,10.57
1,0,0.566,0.0,0.0,0.0,0.0066,0.0049,0.0099,0.2678,23.64,10.20
1,0,0.587,0.0,0.0,0.0,-0.0051,0.0058,0.0172,0.2678,22.25,10.20
1,0,0.604,0.0,0.0,0.0,-0.0193,0.0119,0.0165,0.2676,11.69,5.75
1,0,0.624,0.0,0.0,0.0,-0.0311,0.0187,0.0177,0.2671,34.84,7.17
1,0,0.647,0.0,0.0,0.0,-0.0133,0.0192,0.0236,0.2671,7.18,11.51
1,0,0.664,0.0,0.0,0.0,-0.0495,0.0027,0.0013,0.2672,21.60,10.20
1,0,0.683,0.0,0.0,0.0,-0.0289,0.0026,0.0181,0.2672,10.50,7.57
1,0,0.706,0.0,0.0,0.0,-0.0446,0.0036,0.0077,0.2670,12.62,11.01
1,0,0.726,0.0,0.0,0.0,-0.0588,0.0064,0.0158,0.2668,30.52,7.29
1,0,0.747,0.0,0.0,0.0,-0.0325,0.0035,0.0102,0.2667,15.48,11.95
1,0,0.764,0.0,0.0,0.0,-0.0610,-0.0022,0.0157,0.2665,26.07,8.30
1,0,0.785,0.0,0.0,0.0,-0.0350,0.0024,0.0276,0.2666,6.92,10.30
1,0,0.803,0.0,0.0,0.0,-0.0624,0.0179,0.0051,0.2664,19.66,14.48
1,0,0.824,0.0,0.0,0.0,-0.0139,0.0269,0.0096,0.2661,34.85,13.57
1,0,0.846,0.0,0.0,0.0,-0.0545,-0.0017,0.0159,0.2662,36.86,15.63
1,0,0.862,0.0,0.0,0.0,-0.0449,-0.0113,0.0177,0.2659,36.10,8.43
1,0,0.885,0.0,0.0,0.0,-0.0106,-0.0012,0.0241,0.2661,6.05,6.78
1,0,0.903,0.0,0.0,0.0,-0.0299,0.0066,0.0058,0.2650,48.75,15.24
1,0,0.924,0.0,0.0,0.0,-0.0242,0.0268,0.0356,0.2657,38.79,11.85
1,0,0.943,0.0,0.0,0.0,-0.0103,-0.0161,0.0331,0.2661,21.36,8.93
1,0,0.964,0.0,0.0,0.0,-0.0259,-0.0314,0.0254,0.2656,55.47,10.45
1,0,0.984,0.0,0.0,0.0,-0.0118,0.0021,0.0435,0.2672,18.84,13.47
1,0,1.003,0.0,0.0,0.0,-0.0059,0.0093,0.0350,0.2663,32.12,12.95
1,0,1.023,0.0,0.0,0.0,-0.0076,0.0664,0.0166,0.2659,63.21,9.81
1,0,1.047,0.0,0.0,0.0,0.0015,0.0389,0.0311,0.2685,10.06,11.26
1,0,1.065,0.0,0.0,0.0,0.0072,-0.0062,0.0140,0.2681,24.54,13.78
