rollout,segment,t,vx_cmd,vy_cmd,wz_cmd,vx_med,wz_med,tilt_rad,height,power_W,tau_max
1,0,0.004,0.0,0.0,0.0,0.0000,0.0000,0.0865,0.2289,0.10,8.69
1,0,0.024,0.0,0.0,0.0,0.0021,-0.0216,0.0855,0.2287,25.30,20.00
1,0,0.045,0.0,0.0,0.0,0.0325,-0.0802,0.0774,0.2281,77.04,18.52
1,0,0.062,0.0,0.0,0.0,0.0412,-0.1437,0.0644,0.2277,95.43,16.54
1,0,0.086,0.0,0.0,0.0,0.0678,-0.1589,0.0448,0.2293,66.29,13.08
1,0,0.104,0.0,0.0,0.0,0.1035,-0.1085,0.0325,0.2303,50.75,11.87
1,0,0.125,0.0,0.0,0.0,0.0925,-0.0500,0.0234,0.2315,36.97,11.64
1,0,0.143,0.0,0.0,0.0,0.1665,-0.0088,0.0153,0.2333,35.50,11.70
1,0,0.165,0.0,0.0,0.0,0.2051,0.0018,0.0110,0.2347,33.52,11.22
1,0,0.189,0.0,0.0,0.0,0.0983,0.0037,0.0075,0.2367,33.59,10.86
1,0,0.203,0.0,0.0,0.0,0.3025,-0.0007,0.0062,0.2376,33.22,10.78
1,0,0.223,0.0,0.0,0.0,0.2037,-0.0098,0.0117,0.2402,35.43,10.04
1,0,0.243,0.0,0.0,0.0,0.2067,-0.0432,0.0165,0.2410,32.10,9.56
1,0,0.267,0.0,0.0,0.0,0.2760,-0.0644,0.0240,0.2426,23.05,9.06
1,0,0.288,0.0,0.0,0.0,0.2866,-0.0402,0.0282,0.2441,45.34,8.72
1,0,0.308,0.0,0.0,0.0,0.1445,-0.0543,0.0306,0.2450,26.08,8.62
1,0,0.321,0.0,0.0,0.0,0.2954,-0.0833,0.0350,0.2466,19.72,7.73
1,0,0.342,0.0,0.0,0.0,0.3331,-0.0638,0.0372,0.2483,22.31,6.93
1,0,0.363,0.0,0.0,0.0,0.2033,-0.0650,0.0386,0.2495,16.95,6.70
1,0,0.384,0.0,0.0,0.0,0.2433,-0.0566,0.0395,0.2507,15.85,6.66
1,0,0.404,0.0,0.0,0.0,0.1513,-0.0424,0.0399,0.2524,15.28,6.50
1,0,0.424,0.0,0.0,0.0,0.2122,-0.0395,0.0397,0.2533,12.04,6.39
1,0,0.442,0.0,0.0,0.0,0.1454,-0.0246,0.0396,0.2542,11.39,6.59
1,0,0.464,0.0,0.0,0.0,0.1565,-0.0077,0.0392,0.2554,10.17,6.58
1,0,0.488,0.0,0.0,0.0,0.1382,-0.0060,0.0389,0.2561,9.03,6.59
1,0,0.505,0.0,0.0,0.0,0.1023,-0.0102,0.0384,0.2568,7.23,6.59
1,0,0.523,0.0,0.0,0.0,0.1255,-0.0101,0.0380,0.2573,5.88,6.58
1,0,0.542,0.0,0.0,0.0,0.0456,-0.0069,0.0376,0.2576,4.85,6.62
1,0,0.562,0.0,0.0,0.0,0.0949,-0.0041,0.0371,0.2579,3.40,6.66
1,0,0.585,0.0,0.0,0.0,0.0354,-0.0035,0.0365,0.2581,2.20,6.65
1,0,0.606,0.0,0.0,0.0,0.0164,-0.0037,0.0362,0.2582,1.72,6.64
1,0,0.624,0.0,0.0,0.0,0.0112,-0.0030,0.0360,0.2582,1.43,6.63
1,0,0.643,0.0,0.0,0.0,-0.0016,-0.0005,0.0356,0.2583,1.28,6.66
1,0,0.662,0.0,0.0,0.0,-0.0106,-0.0002,0.0350,0.2584,1.36,6.63
1,0,0.685,0.0,0.0,0.0,-0.0086,-0.0012,0.0344,0.2584,1.50,6.52
1,0,0.709,0.0,0.0,0.0,-0.0237,-0.0037,0.0335,0.2585,1.49,6.41
1,0,0.725,0.0,0.0,0.0,-0.0175,-0.0048,0.0329,0.2586,1.45,6.37
1,0,0.743,0.0,0.0,0.0,-0.0233,-0.0056,0.0321,0.2586,1.35,6.31
1,0,0.766,0.0,0.0,0.0,-0.0198,-0.0054,0.0315,0.2586,1.26,6.28
1,0,0.785,0.0,0.0,0.0,-0.0138,-0.0053,0.0310,0.2586,1.22,6.26
1,0,0.805,0.0,0.0,0.0,-0.0234,-0.0054,0.0305,0.2585,1.16,6.25
1,0,0.822,0.0,0.0,0.0,-0.0263,-0.0056,0.0301,0.2585,1.09,6.21
1,0,0.842,0.0,0.0,0.0,-0.0201,-0.0056,0.0296,0.2585,1.00,6.18
1,0,0.863,0.0,0.0,0.0,-0.0264,-0.0055,0.0293,0.2585,0.93,6.15
1,0,0.886,0.0,0.0,0.0,-0.0190,-0.0055,0.0290,0.2585,0.88,6.13
1,0,0.910,0.0,0.0,0.0,-0.0201,-0.0054,0.0287,0.2585,0.82,6.12
1,0,0.924,0.0,0.0,0.0,-0.0241,-0.0051,0.0285,0.2585,0.74,6.10
1,0,0.943,0.0,0.0,0.0,-0.0135,-0.0048,0.0282,0.2585,0.67,6.08
1,0,0.965,0.0,0.0,0.0,-0.0220,-0.0047,0.0281,0.2585,0.62,6.07
1,0,0.984,0.0,0.0,0.0,-0.0134,-0.0042,0.0279,0.2584,0.53,6.06
1,0,1.004,0.0,0.0,0.0,-0.0157,-0.0039,0.0278,0.2584,0.50,6.05
1,0,1.024,0.0,0.0,0.0,-0.0062,-0.0036,0.0276,0.2584,0.45,6.04
1,0,1.045,0.0,0.0,0.0,-0.0158,-0.0031,0.0275,0.2584,0.38,6.03
1,0,1.063,0.0,0.0,0.0,-0.0091,-0.0029,0.0274,0.2584,0.34,6.03
1,0,1.085,0.0,0.0,0.0,-0.0066,-0.0026,0.0273,0.2584,0.29,6.02
1,0,1.104,0.0,0.0,0.0,-0.0062,-0.0021,0.0272,0.2584,0.25,6.02
1,0,1.122,0.0,0.0,0.0,-0.0064,-0.0018,0.0271,0.2584,0.21,6.01
1,0,1.142,0.0,0.0,0.0,-0.0024,-0.0016,0.0271,0.2584,0.19,6.01
1,0,1.166,0.0,0.0,0.0,-0.0039,-0.0011,0.0270,0.2584,0.13,6.02
1,0,1.185,0.0,0.0,0.0,-0.0020,-0.0008,0.0270,0.2584,0.10,6.02
1,0,1.207,0.0,0.0,0.0,-0.0004,-0.0006,0.0270,0.2584,0.08,6.02
1,0,1.223,0.0,0.0,0.0,-0.0013,-0.0006,0.0270,0.2584,0.07,6.02
1,0,1.243,0.0,0.0,0.0,-0.0015,-0.0006,0.0270,0.2584,0.06,6.02
1,0,1.267,0.0,0.0,0.0,-0.0010,-0.0005,0.0270,0.2584,0.06,6.02
1,0,1.286,0.0,0.0,0.0,-0.0012,-0.0005,0.0270,0.2584,0.06,6.02
1,0,1.305,0.0,0.0,0.0,-0.0009,-0.0005,0.0270,0.2584,0.06,6.01
1,0,1.324,0.0,0.0,0.0,-0.0007,-0.0005,0.0270,0.2584,0.06,6.01
1,0,1.343,0.0,0.0,0.0,-0.0009,-0.0005,0.0270,0.2584,0.06,6.01
1,0,1.364,0.0,0.0,0.0,-0.0010,-0.0006,0.0270,0.2584,0.06,6.01
1,0,1.386,0.0,0.0,0.0,-0.0008,-0.0005,0.0270,0.2584,0.06,6.01
1,0,1.408,0.0,0.0,0.0,-0.0011,-0.0005,0.0270,0.2584,0.06,6.01
1,0,1.425,0.0,0.0,0.0,-0.0012,-0.0005,0.0270,0.2584,0.06,6.00
1,0,1.442,0.0,0.0,0.0,-0.0008,-0.0005,0.0270,0.2584,0.06,6.00
1,0,1.463,0.0,0.0,0.0,-0.0013,-0.0005,0.0270,0.2584,0.05,6.00
1,0,1.486,0.0,0.0,0.0,-0.0009,-0.0005,0.0270,0.2584,0.05,6.00
1,0,1.504,0.0,0.0,0.0,-0.0009,-0.0005,0.0270,0.2584,0.05,6.00
1,0,1.522,0.0,0.0,0.0,-0.0010,-0.0005,0.0270,0.2584,0.05,6.00
1,0,1.543,0.0,0.0,0.0,-0.0012,-0.0005,0.0270,0.2584,0.05,5.99
1,0,1.562,0.0,0.0,0.0,-0.0012,-0.0005,0.0270,0.2584,0.06,5.99
1,0,1.584,0.0,0.0,0.0,-0.0009,-0.0005,0.0270,0.2584,0.05,5.99
1,0,1.605,0.0,0.0,0.0,-0.0011,-0.0005,0.0270,0.2583,0.05,5.99
1,0,1.622,0.0,0.0,0.0,-0.0006,-0.0005,0.0270,0.2583,0.05,5.99
1,0,1.642,0.0,0.0,0.0,-0.0013,-0.0005,0.0270,0.2583,0.05,5.99
1,0,1.666,0.0,0.0,0.0,-0.0011,-0.0005,0.0270,0.2583,0.05,5.98
1,0,1.687,0.0,0.0,0.0,-0.0009,-0.0005,0.0270,0.2583,0.05,5.98
1,0,1.704,0.0,0.0,0.0,-0.0011,-0.0005,0.0270,0.2583,0.05,5.98
1,0,1.723,0.0,0.0,0.0,-0.0012,-0.0005,0.0270,0.2583,0.05,5.98
1,0,1.743,0.0,0.0,0.0,-0.0008,-0.0005,0.0270,0.2583,0.05,5.98
1,0,1.763,0.0,0.0,0.0,-0.0008,-0.0005,0.0270,0.2583,0.05,5.98
1,0,1.788,0.0,0.0,0.0,-0.0009,-0.0005,0.0270,0.2583,0.05,5.98
1,0,1.805,0.0,0.0,0.0,-0.0010,-0.0005,0.0270,0.2583,0.05,5.98
1,0,1.825,0.0,0.0,0.0,-0.0010,-0.0005,0.0270,0.2583,0.05,5.97
1,0,1.843,0.0,0.0,0.0,-0.0010,-0.0005,0.0270,0.2583,0.05,5.97
1,0,1.864,0.0,0.0,0.0,-0.0008,-0.0005,0.0270,0.2583,0.05,5.97
1,0,1.887,0.0,0.0,0.0,-0.0008,-0.0005,0.0271,0.2583,0.05,5.97
1,0,1.903,0.0,0.0,0.0,-0.0010,-0.0005,0.0271,0.2583,0.05,5.97
1,0,1.925,0.0,0.0,0.0,-0.0008,-0.0005,0.0271,0.2583,0.05,5.97
1,0,1.942,0.0,0.0,0.0,-0.0008,-0.0005,0.0271,0.2583,0.05,5.97
1,0,1.966,0.0,0.0,0.0,-0.0010,-0.0005,0.0271,0.2583,0.05,5.97
1,0,1.983,0.0,0.0,0.0,-0.0004,-0.0005,0.0271,0.2583,0.05,5.97
1,0,2.004,0.0,0.0,0.0,-0.0010,-0.0005,0.0271,0.2583,0.05,5.96
1,0,2.022,0.0,0.0,0.0,-0.0008,-0.0005,0.0271,0.2583,0.05,5.96
1,0,2.041,0.0,0.0,0.0,-0.0006,-0.0005,0.0271,0.2583,0.05,5.96
1,0,2.064,0.0,0.0,0.0,-0.0010,-0.0005,0.0271,0.2583,0.05,5.96
1,0,2.088,0.0,0.0,0.0,-0.0006,-0.0005,0.0271,0.2583,0.05,5.96
1,0,2.107,0.0,0.0,0.0,-0.0005,-0.0005,0.0271,0.2583,0.05,5.96
1,0,2.124,0.0,0.0,0.0,-0.0013,-0.0005,0.0271,0.2583,0.05,5.96
1,0,2.143,0.0,0.0,0.0,-0.0008,-0.0005,0.0271,0.2583,0.05,5.96
1,0,2.162,0.0,0.0,0.0,-0.0006,-0.0005,0.0271,0.2583,0.05,5.96
1,0,2.186,0.0,0.0,0.0,-0.0013,-0.0005,0.0271,0.2583,0.05,5.96
1,0,2.206,0.0,0.0,0.0,-0.0006,-0.0005,0.0271,0.2583,0.05,5.96
1,0,2.226,0.0,0.0,0.0,-0.0006,-0.0005,0.0271,0.2583,0.05,5.96
1,0,2.245,0.0,0.0,0.0,-0.0010,-0.0005,0.0272,0.2583,0.05,5.96
1,0,2.266,0.0,0.0,0.0,-0.0010,-0.0005,0.0272,0.2583,0.05,5.96
1,0,2.286,0.0,0.0,0.0,-0.0007,-0.0005,0.0272,0.2583,0.05,5.96
1,0,2.304,0.0,0.0,0.0,-0.0004,-0.0005,0.0272,0.2583,0.05,5.96
1,0,2.322,0.0,0.0,0.0,-0.0007,-0.0005,0.0272,0.2583,0.05,5.96
1,0,2.346,0.0,0.0,0.0,-0.0008,-0.0005,0.0272,0.2583,0.05,5.96
1,0,2.364,0.0,0.0,0.0,-0.0005,-0.0005,0.0272,0.2583,0.05,5.97
1,0,2.386,0.0,0.0,0.0,-0.0006,-0.0005,0.0272,0.2583,0.05,5.97
1,0,2.407,0.0,0.0,0.0,-0.0009,-0.0005,0.0272,0.2583,0.05,5.97
1,0,2.427,0.0,0.0,0.0,-0.0008,-0.0005,0.0272,0.2583,0.05,5.97
1,0,2.442,0.0,0.0,0.0,-0.0009,-0.0005,0.0272,0.2583,0.05,5.97
1,0,2.466,0.0,0.0,0.0,-0.0008,-0.0005,0.0272,0.2583,0.05,5.97
1,0,2.486,0.0,0.0,0.0,-0.0007,-0.0005,0.0272,0.2583,0.05,5.97
1,0,2.504,0.0,0.0,0.0,-0.0008,-0.0005,0.0272,0.2583,0.05,5.97
1,0,2.522,0.0,0.0,0.0,-0.0007,-0.0005,0.0272,0.2583,0.05,5.97
1,0,2.545,0.0,0.0,0.0,-0.0007,-0.0005,0.0272,0.2583,0.05,5.97
1,0,2.563,0.0,0.0,0.0,-0.0008,-0.0005,0.0272,0.2582,0.05,5.98
1,0,2.586,0.0,0.0,0.0,-0.0009,-0.0005,0.0272,0.2582,0.05,5.98
1,0,2.605,0.0,0.0,0.0,-0.0006,-0.0005,0.0273,0.2582,0.05,5.98
1,0,2.622,0.0,0.0,0.0,-0.0006,-0.0005,0.0273,0.2582,0.05,5.98
1,0,2.642,0.0,0.0,0.0,-0.0007,-0.0005,0.0273,0.2582,0.05,5.98
1,0,2.662,0.0,0.0,0.0,-0.0008,-0.0005,0.0273,0.2582,0.05,5.98
1,0,2.685,0.0,0.0,0.0,-0.0008,-0.0005,0.0273,0.2582,0.04,5.98
1,0,2.709,0.0,0.0,0.0,-0.0010,-0.0005,0.0273,0.2582,0.04,5.98
1,0,2.725,0.0,0.0,0.0,-0.0003,-0.0005,0.0273,0.2582,0.04,5.98
1,0,2.743,0.0,0.0,0.0,-0.0012,-0.0005,0.0273,0.2582,0.04,5.99
1,0,2.764,0.0,0.0,0.0,-0.0007,-0.0005,0.0273,0.2582,0.04,5.99
1,0,2.785,0.0,0.0,0.0,-0.0009,-0.0005,0.0273,0.2582,0.04,5.99
1,0,2.804,0.0,0.0,0.0,-0.0005,-0.0005,0.0273,0.2582,0.04,5.99
1,0,2.824,0.0,0.0,0.0,-0.0010,-0.0005,0.0273,0.2582,0.04,5.99
1,0,2.842,0.0,0.0,0.0,-0.0005,-0.0005,0.0273,0.2582,0.04,5.99
1,0,2.866,0.0,0.0,0.0,-0.0010,-0.0005,0.0273,0.2582,0.04,5.99
1,0,2.884,0.0,0.0,0.0,-0.0011,-0.0005,0.0273,0.2582,0.04,5.99
1,0,2.906,0.0,0.0,0.0,-0.0004,-0.0005,0.0273,0.2582,0.04,5.99
1,0,2.923,0.0,0.0,0.0,-0.0008,-0.0005,0.0273,0.2582,0.04,5.99
1,0,2.943,0.0,0.0,0.0,-0.0009,-0.0005,0.0273,0.2582,0.04,6.00
1,0,2.962,0.0,0.0,0.0,-0.0007,-0.0005,0.0273,0.2582,0.04,6.00
1,0,2.984,0.0,0.0,0.0,-0.0008,-0.0005,0.0274,0.2582,0.04,6.00
1,1,3.006,0.3,0.0,0.0,0.0000,-0.0005,0.0274,0.2582,0.04,6.00
1,1,3.025,0.3,0.0,0.0,-0.0006,-0.0005,0.0274,0.2582,0.04,6.00
1,1,3.042,0.3,0.0,0.0,0.0000,-0.0028,0.0275,0.2581,1.08,8.09
1,1,3.063,0.3,0.0,0.0,0.0024,-0.0058,0.0279,0.2577,4.58,8.73
1,1,3.091,0.3,0.0,0.0,0.0042,-0.0077,0.0288,0.2570,7.01,9.57
1,1,3.105,0.3,0.0,0.0,0.0118,-0.0065,0.0297,0.2561,8.73,9.61
1,1,3.122,0.3,0.0,0.0,0.0052,-0.0018,0.0307,0.2551,5.11,10.87
1,1,3.142,0.3,0.0,0.0,0.0032,-0.0030,0.0312,0.2544,4.00,11.10
1,1,3.168,0.3,0.0,0.0,0.0039,-0.0034,0.0319,0.2533,5.10,10.77
1,1,3.185,0.3,0.0,0.0,0.0046,-0.0062,0.0326,0.2528,2.68,10.53
1,1,3.208,0.3,0.0,0.0,0.0073,-0.0116,0.0335,0.2525,3.09,9.95
1,1,3.224,0.3,0.0,0.0,0.0061,-0.0127,0.0344,0.2522,3.42,9.59
1,1,3.242,0.3,0.0,0.0,0.0107,-0.0052,0.0357,0.2520,2.85,9.07
1,1,3.265,0.3,0.0,0.0,0.0098,0.0007,0.0365,0.2520,2.11,8.23
1,1,3.285,0.3,0.0,0.0,0.0060,0.0018,0.0368,0.2520,2.32,7.41
1,1,3.304,0.3,0.0,0.0,0.0149,0.0046,0.0383,0.2524,4.34,8.21
1,1,3.322,0.3,0.0,0.0,0.0112,0.0095,0.0401,0.2529,6.11,8.80
1,1,3.345,0.3,0.0,0.0,0.0088,0.0162,0.0414,0.2533,6.43,9.44
1,1,3.364,0.3,0.0,0.0,0.0082,0.0161,0.0428,0.2536,5.53,9.84
1,1,3.388,0.3,0.0,0.0,0.0053,0.0132,0.0451,0.2537,6.18,10.34
1,1,3.407,0.3,0.0,0.0,0.0000,0.0132,0.0451,0.2537,6.18,10.34
1,1,3.428,0.3,0.0,0.0,0.0069,0.0098,0.0464,0.2536,5.76,10.82
1,1,3.442,0.3,0.0,0.0,0.0019,-0.0004,0.0495,0.2525,3.43,11.15
1,1,3.464,0.3,0.0,0.0,0.0022,-0.0044,0.0506,0.2519,2.46,10.56
1,1,3.482,0.3,0.0,0.0,0.0055,0.0013,0.0520,0.2513,3.08,9.99
