rollout,segment,t,vx_cmd,vy_cmd,wz_cmd,vx_med,wz_med,tilt_rad,height,power_W,tau_max
1,0,0.007,0.0,0.0,0.0,0.0000,-0.0000,0.0790,0.2293,0.11,8.50
1,0,0.025,0.0,0.0,0.0,-0.0002,-0.0000,0.0789,0.2293,0.11,8.49
1,0,0.042,0.0,0.0,0.0,0.0303,-0.1279,0.0760,0.2288,175.93,32.49
1,0,0.063,0.0,0.0,0.0,0.0214,-0.2083,0.0633,0.2303,262.96,23.50
1,0,0.087,0.0,0.0,0.0,0.1680,-0.1088,0.0543,0.2352,128.56,22.70
1,0,0.105,0.0,0.0,0.0,0.2038,0.0074,0.0419,0.2414,110.14,14.49
1,0,0.125,0.0,0.0,0.0,0.1528,-0.0599,0.0325,0.2489,97.38,11.78
1,0,0.142,0.0,0.0,0.0,0.3206,-0.1171,0.0292,0.2530,97.68,10.97
1,0,0.163,0.0,0.0,0.0,0.3085,-0.2066,0.0206,0.2594,64.86,7.71
1,0,0.186,0.0,0.0,0.0,0.1433,-0.1909,0.0137,0.2638,62.21,8.65
1,0,0.205,0.0,0.0,0.0,0.2829,-0.1688,0.0067,0.2671,34.06,5.94
1,0,0.225,0.0,0.0,0.0,0.2282,-0.2503,0.0034,0.2699,25.73,7.55
1,0,0.246,0.0,0.0,0.0,0.2231,-0.3522,0.0083,0.2722,18.43,7.65
1,0,0.265,0.0,0.0,0.0,0.1731,-0.4080,0.0080,0.2740,15.96,7.54
1,0,0.285,0.0,0.0,0.0,0.2305,-0.3998,0.0048,0.2743,11.56,7.18
1,0,0.303,0.0,0.0,0.0,0.0516,-0.3907,0.0025,0.2745,13.94,5.54
1,0,0.325,0.0,0.0,0.0,0.1630,-0.2663,0.0031,0.2746,4.90,8.76
1,0,0.342,0.0,0.0,0.0,0.1808,-0.1503,0.0106,0.2744,7.73,4.89
1,0,0.363,0.0,0.0,0.0,0.0431,-0.1376,0.0119,0.2743,6.93,5.06
1,0,0.386,0.0,0.0,0.0,0.1269,-0.1098,0.0085,0.2737,8.40,7.87
