v_cmd,t,P_mecanica_W,P_electrica_W,voltaje_V,corriente_A,inclinacion_rad,altura_m
0.10,3.001,7.30,0.00,0.00,0.000,0.0125,0.2696
0.10,3.021,5.22,0.00,0.00,0.000,0.0125,0.2709
0.10,3.041,6.45,0.00,0.00,0.000,0.0110,0.2708
0.10,3.061,14.02,0.00,0.00,0.000,0.0101,0.2681
0.10,3.081,6.33,0.00,0.00,0.000,0.0099,0.2650
0.10,3.108,4.04,0.00,0.00,0.000,0.0095,0.2625
0.10,3.121,3.35,0.00,0.00,0.000,0.0101,0.2617
0.10,3.141,2.91,0.00,0.00,0.000,0.0117,0.2607
0.10,3.161,3.15,0.00,0.00,0.000,0.0134,0.2604
0.10,3.181,2.51,0.00,0.00,0.000,0.0142,0.2600
0.10,3.209,2.28,0.00,0.00,0.000,0.0143,0.2598
0.10,3.221,2.09,0.00,0.00,0.000,0.0139,0.2597
0.10,3.241,4.45,0.00,0.00,0.000,0.0136,0.2600
0.10,3.261,9.04,0.00,0.00,0.000,0.0134,0.2638
0.10,3.281,12.40,0.00,0.00,0.000,0.0137,0.2662
0.10,3.301,12.61,0.00,0.00,0.000,0.0141,0.2709
0.10,3.321,2.66,0.00,0.00,0.000,0.0142,0.2717
0.10,3.341,5.77,0.00,0.00,0.000,0.0132,0.2708
0.10,3.361,7.76,0.00,0.00,0.000,0.0120,0.2681
0.10,3.381,3.63,0.00,0.00,0.000,0.0116,0.2648
0.10,3.401,2.62,0.00,0.00,0.000,0.0117,0.2621
0.10,3.421,2.00,0.00,0.00,0.000,0.0119,0.2606
0.10,3.441,1.37,0.00,0.00,0.000,0.0116,0.2593
0.10,3.461,2.00,0.00,0.00,0.000,0.0090,0.2586
0.10,3.481,1.42,0.00,0.00,0.000,0.0062,0.2583
0.10,3.501,0.67,0.00,0.00,0.000,0.0055,0.2585
0.10,3.521,0.55,0.00,0.00,0.000,0.0058,0.2587
0.10,3.541,2.55,0.00,0.00,0.000,0.0066,0.2607
0.10,3.561,4.94,0.00,0.00,0.000,0.0075,0.2634
0.10,3.583,10.90,0.00,0.00,0.000,0.0088,0.2661
0.10,3.601,4.93,0.00,0.00,0.000,0.0114,0.2701
0.10,3.620,2.41,0.00,0.00,0.000,0.0114,0.2712
0.10,3.641,6.51,0.00,0.00,0.000,0.0101,0.2701
0.10,3.661,10.27,0.00,0.00,0.000,0.0095,0.2673
0.10,3.681,5.76,0.00,0.00,0.000,0.0092,0.2647
0.10,3.700,2.31,0.00,0.00,0.000,0.0090,0.2631
0.10,3.721,2.92,0.00,0.00,0.000,0.0102,0.2615
0.10,3.740,2.70,0.00,0.00,0.000,0.0122,0.2608
0.10,3.762,2.67,0.00,0.00,0.000,0.0137,0.2603
0.10,3.781,2.30,0.00,0.00,0.000,0.0146,0.2599
0.10,3.802,2.15,0.00,0.00,0.000,0.0148,0.2597
0.10,3.821,2.05,0.00,0.00,0.000,0.0147,0.2595
0.10,3.841,3.33,0.00,0.00,0.000,0.0145,0.2603
0.10,3.861,5.70,0.00,0.00,0.000,0.0145,0.2612
0.10,3.881,13.56,0.00,0.00,0.000,0.0146,0.2653
0.10,3.901,15.33,0.00,0.00,0.000,0.0149,0.2703
0.10,3.929,4.48,0.00,0.00,0.000,0.0156,0.2714
0.10,3.941,4.21,0.00,0.00,0.000,0.0155,0.2711
0.10,3.960,7.64,0.00,0.00,0.000,0.0138,0.2687
0.10,3.980,5.37,0.00,0.00,0.000,0.0130,0.2660
0.10,4.002,2.95,0.00,0.00,0.000,0.0132,0.2633
0.10,4.021,2.51,0.00,0.00,0.000,0.0135,0.2615
0.10,4.041,2.35,0.00,0.00,0.000,0.0136,0.2604
0.10,4.061,2.19,0.00,0.00,0.000,0.0126,0.2596
0.10,4.083,2.59,0.00,0.00,0.000,0.0093,0.2591
0.10,4.101,1.70,0.00,0.00,0.000,0.0061,0.2590
0.10,4.121,1.73,0.00,0.00,0.000,0.0055,0.2594
0.10,4.141,3.41,0.00,0.00,0.000,0.0069,0.2608
0.10,4.161,5.59,0.00,0.00,0.000,0.0081,0.2624
0.10,4.187,9.89,0.00,0.00,0.000,0.0122,0.2682
0.10,4.201,4.19,0.00,0.00,0.000,0.0141,0.2703
0.10,4.221,4.63,0.00,0.00,0.000,0.0144,0.2716
0.10,4.241,6.54,0.00,0.00,0.000,0.0132,0.2705
0.10,4.263,10.72,0.00,0.00,0.000,0.0127,0.2695
0.10,4.281,11.29,0.00,0.00,0.000,0.0123,0.2654
0.10,4.301,2.40,0.00,0.00,0.000,0.0125,0.2633
0.10,4.321,1.78,0.00,0.00,0.000,0.0129,0.2622
0.10,4.342,2.49,0.00,0.00,0.000,0.0140,0.2612
0.10,4.361,2.45,0.00,0.00,0.000,0.0148,0.2608
0.10,4.381,2.35,0.00,0.00,0.000,0.0157,0.2603
0.10,4.400,2.25,0.00,0.00,0.000,0.0165,0.2600
0.10,4.421,1.93,0.00,0.00,0.000,0.0168,0.2598
0.10,4.441,1.86,0.00,0.00,0.000,0.0168,0.2598
0.10,4.460,3.56,0.00,0.00,0.000,0.0167,0.2625
0.10,4.481,6.11,0.00,0.00,0.000,0.0168,0.2655
0.10,4.501,10.41,0.00,0.00,0.000,0.0169,0.2704
0.10,4.521,6.81,0.00,0.00,0.000,0.0171,0.2726
0.10,4.540,13.62,0.00,0.00,0.000,0.0165,0.2718
0.10,4.561,12.46,0.00,0.00,0.000,0.0143,0.2696
0.10,4.581,7.76,0.00,0.00,0.000,0.0135,0.2656
0.10,4.601,3.49,0.00,0.00,0.000,0.0137,0.2626
0.10,4.621,2.40,0.00,0.00,0.000,0.0139,0.2612
0.10,4.641,1.85,0.00,0.00,0.000,0.0133,0.2597
0.10,4.661,2.77,0.00,0.00,0.000,0.0103,0.2590
0.10,4.681,1.84,0.00,0.00,0.000,0.0073,0.2588
0.10,4.701,0.78,0.00,0.00,0.000,0.0066,0.2589
0.10,4.721,1.49,0.00,0.00,0.000,0.0068,0.2597
0.10,4.741,4.11,0.00,0.00,0.000,0.0070,0.2608
0.10,4.761,3.31,0.00,0.00,0.000,0.0072,0.2640
0.10,4.781,6.88,0.00,0.00,0.000,0.0082,0.2677
0.10,4.801,4.86,0.00,0.00,0.000,0.0103,0.2712
0.10,4.821,1.12,0.00,0.00,0.000,0.0101,0.2717
0.10,4.841,5.66,0.00,0.00,0.000,0.0096,0.2713
0.10,4.861,4.79,0.00,0.00,0.000,0.0094,0.2681
0.10,4.881,2.94,0.00,0.00,0.000,0.0090,0.2652
0.10,4.901,1.49,0.00,0.00,0.000,0.0089,0.2635
0.10,4.921,2.15,0.00,0.00,0.000,0.0102,0.2621
0.10,4.941,1.85,0.00,0.00,0.000,0.0117,0.2613
0.10,4.962,1.68,0.00,0.00,0.000,0.0130,0.2608
0.10,4.981,1.56,0.00,0.00,0.000,0.0137,0.2604
0.10,5.001,1.30,0.00,0.00,0.000,0.0138,0.2602
0.10,5.021,1.14,0.00,0.00,0.000,0.0136,0.2600
0.10,5.046,3.26,0.00,0.00,0.000,0.0134,0.2603
0.10,5.061,4.36,0.00,0.00,0.000,0.0133,0.2633
0.10,5.081,8.71,0.00,0.00,0.000,0.0134,0.2664
0.10,5.101,16.54,0.00,0.00,0.000,0.0139,0.2707
0.10,5.121,4.84,0.00,0.00,0.000,0.0147,0.2720
0.10,5.141,8.12,0.00,0.00,0.000,0.0136,0.2708
0.10,5.161,10.14,0.00,0.00,0.000,0.0121,0.2690
0.10,5.181,5.48,0.00,0.00,0.000,0.0115,0.2652
0.10,5.205,4.45,0.00,0.00,0.000,0.0114,0.2626
0.10,5.221,3.19,0.00,0.00,0.000,0.0115,0.2614
