v_cmd,t,P_mecanica_W,P_electrica_W,voltaje_V,corriente_A,inclinacion_rad,altura_m
0.20,3.001,6.31,0.00,0.00,0.000,0.0049,0.2715
0.20,3.021,4.78,0.00,0.00,0.000,0.0067,0.2723
0.20,3.041,3.60,0.00,0.00,0.000,0.0068,0.2721
0.20,3.061,6.94,0.00,0.00,0.000,0.0068,0.2692
0.20,3.081,4.17,0.00,0.00,0.000,0.0068,0.2666
0.20,3.101,2.76,0.00,0.00,0.000,0.0069,0.2639
0.20,3.121,3.51,0.00,0.00,0.000,0.0082,0.2623
0.20,3.141,3.86,0.00,0.00,0.000,0.0099,0.2613
0.20,3.161,3.93,0.00,0.00,0.000,0.0113,0.2606
0.20,3.181,3.60,0.00,0.00,0.000,0.0119,0.2600
0.20,3.206,3.62,0.00,0.00,0.000,0.0118,0.2598
0.20,3.221,3.37,0.00,0.00,0.000,0.0110,0.2595
0.20,3.241,5.78,0.00,0.00,0.000,0.0103,0.2598
0.20,3.261,10.17,0.00,0.00,0.000,0.0092,0.2624
0.20,3.281,15.28,0.00,0.00,0.000,0.0086,0.2659
0.20,3.301,16.91,0.00,0.00,0.000,0.0091,0.2710
0.20,3.322,8.27,0.00,0.00,0.000,0.0104,0.2736
0.20,3.341,11.48,0.00,0.00,0.000,0.0095,0.2730
0.20,3.361,12.45,0.00,0.00,0.000,0.0068,0.2698
0.20,3.381,10.20,0.00,0.00,0.000,0.0060,0.2663
0.20,3.401,3.84,0.00,0.00,0.000,0.0063,0.2628
0.20,3.422,2.90,0.00,0.00,0.000,0.0065,0.2610
0.20,3.441,1.89,0.00,0.00,0.000,0.0062,0.2590
0.20,3.461,2.85,0.00,0.00,0.000,0.0050,0.2580
0.20,3.481,2.39,0.00,0.00,0.000,0.0042,0.2576
0.20,3.502,2.40,0.00,0.00,0.000,0.0042,0.2575
0.20,3.523,1.74,0.00,0.00,0.000,0.0045,0.2583
0.20,3.541,3.17,0.00,0.00,0.000,0.0039,0.2600
0.20,3.561,8.34,0.00,0.00,0.000,0.0033,0.2620
0.20,3.582,14.64,0.00,0.00,0.000,0.0028,0.2659
0.20,3.601,7.21,0.00,0.00,0.000,0.0045,0.2697
0.20,3.621,6.16,0.00,0.00,0.000,0.0071,0.2719
0.20,3.641,8.77,0.00,0.00,0.000,0.0072,0.2713
0.20,3.661,15.22,0.00,0.00,0.000,0.0072,0.2690
0.20,3.681,8.31,0.00,0.00,0.000,0.0076,0.2649
0.20,3.702,2.87,0.00,0.00,0.000,0.0080,0.2631
0.20,3.724,2.99,0.00,0.00,0.000,0.0089,0.2617
0.20,3.741,3.98,0.00,0.00,0.000,0.0106,0.2606
0.20,3.761,4.62,0.00,0.00,0.000,0.0122,0.2598
0.20,3.781,4.63,0.00,0.00,0.000,0.0131,0.2593
0.20,3.801,4.51,0.00,0.00,0.000,0.0132,0.2589
0.20,3.822,4.21,0.00,0.00,0.000,0.0122,0.2587
0.20,3.841,6.05,0.00,0.00,0.000,0.0109,0.2590
0.20,3.862,7.18,0.00,0.00,0.000,0.0102,0.2623
0.20,3.881,13.42,0.00,0.00,0.000,0.0097,0.2653
0.20,3.901,30.48,0.00,0.00,0.000,0.0099,0.2696
0.20,3.921,7.05,0.00,0.00,0.000,0.0112,0.2734
0.20,3.941,12.15,0.00,0.00,0.000,0.0094,0.2722
0.20,3.961,17.23,0.00,0.00,0.000,0.0062,0.2702
0.20,3.981,5.96,0.00,0.00,0.000,0.0055,0.2660
0.20,4.001,5.90,0.00,0.00,0.000,0.0060,0.2635
0.20,4.021,2.07,0.00,0.00,0.000,0.0064,0.2607
0.20,4.043,1.75,0.00,0.00,0.000,0.0063,0.2589
0.20,4.061,2.52,0.00,0.00,0.000,0.0062,0.2585
0.20,4.082,2.98,0.00,0.00,0.000,0.0051,0.2576
