t,visible,lateral,tamano,confianza,vx,wz
1.938,1,0.0045,0.2424,0.903,0.1200,0.0000
2.099,1,0.0077,0.3877,0.902,0.2123,0.0000
2.162,1,0.0014,0.4695,0.904,0.1745,0.0000
2.241,1,-0.0026,0.5186,0.905,0.1270,0.0000
2.291,1,-0.0049,0.5481,0.905,0.0967,0.0000
2.343,1,-0.0062,0.5657,0.905,0.0655,0.0000
2.442,1,-0.0072,0.5762,0.905,0.0061,0.0000
2.517,1,-0.0079,0.5825,0.905,0.0000,0.0000
2.569,1,-0.0084,0.5863,0.904,0.0000,0.0000
2.619,1,-0.0088,0.5885,0.905,0.0000,0.0000
2.712,1,-0.0088,0.5898,0.905,0.0000,0.0000
2.773,1,-0.0087,0.5904,0.906,0.0000,0.0000
2.823,1,-0.0088,0.5905,0.906,0.0000,0.0000
2.878,1,-0.0088,0.5904,0.906,0.0000,0.0000
2.955,1,-0.0087,0.5902,0.906,0.0000,0.0000
3.029,1,-0.0086,0.5901,0.905,0.0000,0.0000
3.069,1,-0.0083,0.5895,0.907,0.0000,0.0000
3.205,1,-0.0078,0.5890,0.907,0.0000,0.0000
3.288,1,-0.0078,0.5892,0.907,0.0000,0.0000
3.332,1,-0.0085,0.5891,0.908,0.0000,0.0000
3.379,1,-0.0092,0.5891,0.908,0.0000,0.0000
3.466,1,-0.0099,0.5890,0.907,0.0000,0.0000
3.526,1,-0.0099,0.5890,0.906,0.0000,0.0000
3.583,1,-0.0094,0.5891,0.906,0.0000,0.0000
3.672,1,-0.0085,0.5888,0.906,0.0000,0.0000
3.751,1,-0.0075,0.5886,0.907,0.0000,0.0000
3.805,1,-0.0069,0.5885,0.907,0.0000,0.0000
3.942,1,-0.0063,0.5883,0.906,0.0000,0.0000
3.994,1,-0.0059,0.5881,0.906,0.0000,0.0000
4.044,1,-0.0059,0.5880,0.906,0.0000,0.0000
4.143,1,-0.0058,0.5885,0.905,0.0000,0.0000
4.203,1,-0.0061,0.5883,0.906,0.0000,0.0000
4.260,1,-0.0062,0.5881,0.906,0.0000,0.0000
4.309,1,-0.0064,0.5879,0.906,0.0000,0.0000
4.414,1,-0.0063,0.5879,0.905,0.0000,0.0000
4.483,1,-0.0062,0.5879,0.905,0.0000,0.0000
4.530,1,-0.0061,0.5879,0.905,0.0000,0.0000
4.581,1,-0.0059,0.5879,0.906,0.0000,0.0000
4.634,1,-0.0058,0.5880,0.906,0.0000,0.0000
4.734,1,-0.0058,0.5880,0.907,0.0000,0.0000
4.806,1,-0.0057,0.5880,0.907,0.0000,0.0000
4.861,1,-0.0056,0.5879,0.908,0.0000,0.0000
4.911,1,-0.0057,0.5879,0.908,0.0000,0.0000
5.000,1,-0.0054,0.5879,0.908,0.0000,0.0000
5.080,1,-0.0054,0.5879,0.908,0.0000,0.0000
5.126,1,-0.0055,0.5880,0.907,0.0000,0.0000
5.176,1,-0.0056,0.5880,0.906,0.0000,0.0000
5.266,1,-0.0058,0.5881,0.906,0.0000,0.0000
5.324,1,-0.0058,0.5881,0.907,0.0000,0.0000
5.371,1,-0.0057,0.5881,0.907,0.0000,0.0000
5.467,1,-0.0058,0.5882,0.906,0.0000,0.0000
5.515,1,-0.0056,0.5882,0.906,0.0000,0.0000
5.572,1,-0.0054,0.5881,0.906,0.0000,0.0000
5.665,1,-0.0052,0.5881,0.905,0.0000,0.0000
5.719,1,-0.0050,0.5887,0.905,0.0000,0.0000
5.773,1,-0.0049,0.5893,0.904,0.0000,0.0000
5.865,1,-0.0047,0.5896,0.904,0.0000,0.0000
5.914,1,-0.0045,0.5898,0.904,0.0000,0.0000
5.969,1,-0.0045,0.5899,0.905,0.0000,0.0000
6.061,1,-0.0046,0.5900,0.905,0.0000,0.0000
6.112,1,-0.0044,0.5901,0.905,0.0000,0.0000
6.170,1,-0.0046,0.5902,0.906,0.0000,0.0000
