t,visible,lateral,tamano,confianza,vx,wz
1.807,1,0.0514,0.3032,0.923,0.1200,0.0000
1.854,1,0.0827,0.4854,0.923,0.1484,0.0000
1.900,1,0.1026,0.5943,0.927,0.1207,0.0000
1.956,1,0.1143,0.6595,0.927,0.0871,0.0000
2.026,1,0.1214,0.6986,0.926,0.0451,0.0000
2.089,1,0.1256,0.7220,0.928,0.0077,0.0000
2.156,1,0.1278,0.7361,0.928,-0.0329,0.0000
2.224,1,0.1291,0.7444,0.928,-0.0734,0.0000
2.288,1,0.1302,0.7495,0.927,-0.1121,0.0000
2.356,1,0.1305,0.7526,0.927,-0.1526,0.0000
2.424,1,0.1307,0.7545,0.927,-0.1936,0.0000
2.490,1,0.1309,0.7557,0.927,-0.2179,0.0000
2.557,1,0.1311,0.7563,0.928,-0.2188,0.0000
2.621,1,0.1313,0.7569,0.928,-0.2196,0.0000
2.688,1,0.1316,0.7572,0.928,-0.2200,0.0000
2.757,1,0.1318,0.7574,0.927,-0.2204,0.0000
2.822,1,0.1321,0.7575,0.928,-0.2206,0.0000
2.889,1,0.1324,0.7576,0.928,-0.2206,0.0000
2.957,1,0.1325,0.7576,0.928,-0.2207,0.0000
3.022,1,0.1326,0.7575,0.928,-0.2205,0.0000
3.089,1,0.1326,0.7575,0.927,-0.2205,0.0000
3.152,1,0.1324,0.7576,0.926,-0.2207,0.0000
3.220,1,0.1325,0.7577,0.927,-0.2208,0.0000
3.288,1,0.1327,0.7579,0.926,-0.2210,0.0000
3.352,1,0.1328,0.7580,0.927,-0.2212,0.0000
3.413,1,0.1329,0.7583,0.926,-0.2216,0.0000
3.473,1,0.1330,0.7584,0.926,-0.2218,0.0000
3.558,1,0.1333,0.7585,0.926,-0.2218,0.0000
3.640,1,0.1331,0.7584,0.926,-0.2218,0.0000
3.686,1,0.1332,0.7583,0.926,-0.2216,0.0000
3.753,1,0.1331,0.7584,0.927,-0.2217,0.0000
3.820,1,0.1329,0.7585,0.927,-0.2218,0.0000
3.885,1,0.1329,0.7584,0.927,-0.2218,0.0000
3.952,1,0.1327,0.7585,0.927,-0.2219,0.0000
4.019,1,0.1326,0.7586,0.927,-0.2220,0.0000
4.084,1,0.1329,0.7586,0.927,-0.2220,0.0000
4.152,1,0.1328,0.7585,0.927,-0.2219,0.0000
4.216,1,0.1326,0.7587,0.927,-0.2221,0.0000
4.284,1,0.1323,0.7588,0.927,-0.2223,0.0000
4.353,1,0.1318,0.7588,0.928,-0.2224,0.0000
4.414,1,0.1315,0.7589,0.928,-0.2225,0.0000
4.484,1,0.1313,0.7588,0.929,-0.2223,0.0000
4.551,1,0.1310,0.7586,0.928,-0.2221,0.0000
4.618,1,0.1309,0.7583,0.928,-0.2217,0.0000
4.684,1,0.1309,0.7581,0.928,-0.2214,0.0000
4.748,1,0.1312,0.7579,0.929,-0.2211,0.0000
4.794,1,0.1312,0.7576,0.929,-0.2206,0.0000
4.848,1,0.1307,0.7571,0.928,-0.2200,0.0000
4.915,1,0.1297,0.7567,0.928,-0.2194,0.0000
4.984,1,0.1281,0.7560,0.925,-0.2184,0.0000
5.049,1,0.1254,0.7541,0.924,-0.2157,0.0000
5.116,1,0.1224,0.7520,0.924,-0.2129,0.0000
5.184,1,0.1195,0.7502,0.921,-0.2103,0.0000
5.247,1,0.1175,0.7485,0.919,-0.2079,0.0000
5.316,1,0.1156,0.7470,0.920,-0.2058,0.0000
5.381,1,0.1142,0.7466,0.920,-0.2052,0.0000
5.447,1,0.1120,0.7454,0.920,-0.2035,0.0000
5.515,1,0.1088,0.7451,0.920,-0.2031,0.0000
5.580,1,0.1048,0.7443,0.919,-0.2020,0.0000
5.648,1,0.1007,0.7428,0.916,-0.2000,0.0000
5.716,1,0.0960,0.7422,0.916,-0.2000,0.0000
5.779,1,0.0907,0.7437,0.917,-0.2012,0.0000
5.848,1,0.0861,0.7439,0.915,-0.2014,0.0000
5.912,1,0.0815,0.7426,0.916,-0.2000,0.0000
5.980,1,0.0768,0.7408,0.915,-0.2000,0.0000
6.047,1,0.0742,0.7396,0.922,-0.2000,0.0000
6.111,1,0.0690,0.7384,0.928,-0.2000,0.0000
6.179,1,0.0628,0.7365,0.931,-0.2000,0.0000
6.247,1,0.0553,0.7345,0.924,-0.2000,0.0000
6.311,1,0.0469,0.7328,0.919,-0.2000,0.0000
6.379,1,0.0402,0.7310,0.918,-0.2000,0.0000
6.444,1,0.0315,0.7293,0.914,-0.2000,0.0000
6.489,1,0.0246,0.7291,0.915,-0.2000,0.0000
6.543,1,0.0174,0.7292,0.911,-0.2000,0.0000
6.611,1,0.0113,0.7291,0.911,-0.2000,0.0000
6.681,1,0.0062,0.7288,0.912,-0.2000,0.0000
6.744,1,0.0021,0.7282,0.911,-0.2000,0.0000
6.812,1,-0.0014,0.7272,0.906,-0.2000,0.0000
6.879,1,-0.0048,0.7250,0.906,-0.2000,0.0000
6.943,1,-0.0082,0.7231,0.907,-0.2000,0.0000
7.011,1,-0.0112,0.7209,0.907,-0.2000,0.0000
7.076,1,-0.0147,0.7188,0.901,-0.2000,0.0000
7.144,1,-0.0192,0.7168,0.901,-0.2000,0.0000
7.211,1,-0.0234,0.7154,0.904,-0.2000,0.0000
7.276,1,-0.0278,0.7136,0.903,-0.2000,0.0000
7.344,1,-0.0312,0.7112,0.903,-0.2000,0.0000
7.411,1,-0.0350,0.7087,0.905,-0.2000,0.0000
7.476,1,-0.0384,0.7061,0.900,-0.2000,0.0000
7.543,1,-0.0429,0.7028,0.896,-0.2000,0.0000
7.607,1,-0.0469,0.6998,0.896,-0.1617,0.0000
7.675,1,-0.0527,0.6974,0.891,-0.1211,0.0000
7.744,1,-0.0593,0.6957,0.896,-0.0793,0.0000
7.807,1,-0.0648,0.6946,0.899,-0.0415,0.0000
7.875,1,-0.0708,0.6937,0.899,0.0000,0.0000
7.943,1,-0.0760,0.6915,0.899,0.0000,0.0000
8.007,1,-0.0805,0.6895,0.900,0.0000,0.0000
8.075,1,-0.0844,0.6886,0.901,0.0000,0.0000
8.140,1,-0.0878,0.6882,0.902,0.0000,0.0000
8.186,1,-0.0903,0.6878,0.902,0.0000,0.0000
8.239,1,-0.0923,0.6875,0.903,0.0000,0.0000
8.307,1,-0.0937,0.6871,0.903,0.0000,0.0000
8.375,1,-0.0950,0.6868,0.904,0.0000,0.0000
8.440,1,-0.0963,0.6866,0.903,0.0000,0.0000
8.508,1,-0.0980,0.6861,0.903,0.0000,0.0000
8.576,1,-0.0999,0.6859,0.901,0.0000,0.0000
8.639,1,-0.1020,0.6843,0.901,0.0000,0.0000
8.707,1,-0.1040,0.6823,0.899,0.0000,0.0000
8.772,1,-0.1065,0.6803,0.899,0.0000,0.0000
8.840,1,-0.1081,0.6783,0.899,0.0000,0.0000
8.908,1,-0.1094,0.6763,0.896,0.0000,0.0000
8.972,1,-0.1120,0.6744,0.893,0.0000,0.0000
9.040,1,-0.1144,0.6730,0.892,0.0000,0.0000
9.107,1,-0.1172,0.6716,0.889,0.0000,0.0000
9.172,1,-0.1191,0.6701,0.889,0.0000,0.0000
9.239,1,-0.1205,0.6685,0.890,0.0000,0.0000
9.304,1,-0.1209,0.6669,0.890,0.0000,0.0000
