t,visible,lateral,tamano,confianza,vx,wz
1.766,1,-0.0273,0.2219,0.900,0.1200,0.0000
1.963,1,-0.0432,0.3551,0.908,0.2380,0.0000
2.050,1,-0.0439,0.4363,0.899,0.2292,0.0000
2.122,1,-0.0437,0.4851,0.899,0.2000,0.0000
2.172,1,-0.0435,0.5146,0.902,0.1701,0.0000
2.207,1,-0.0432,0.5323,0.901,0.1487,0.0000
2.290,1,-0.0428,0.5429,0.902,0.0992,0.0000
2.362,1,-0.0426,0.5493,0.902,0.0559,0.0000
2.408,1,-0.0423,0.5534,0.903,0.0281,0.0000
2.494,1,-0.0420,0.5559,0.902,0.0000,0.0000
2.543,1,-0.0419,0.5572,0.901,0.0000,0.0000
2.630,1,-0.0417,0.5580,0.901,0.0000,0.0000
2.686,1,-0.0418,0.5590,0.901,0.0000,0.0000
2.755,1,-0.0423,0.5594,0.898,0.0000,0.0000
2.819,1,-0.0428,0.5598,0.895,0.0000,0.0000
2.886,1,-0.0438,0.5594,0.894,0.0000,0.0000
2.939,1,-0.0438,0.5593,0.890,0.0000,0.0000
3.045,1,-0.0422,0.5590,0.889,0.0000,0.0000
3.120,1,-0.0356,0.5590,0.886,0.0000,0.0000
3.174,1,-0.0294,0.5590,0.889,0.0000,0.0000
3.226,1,-0.0252,0.5590,0.890,0.0000,0.0000
3.286,1,-0.0229,0.5594,0.891,0.0000,0.0000
3.352,1,-0.0210,0.5596,0.888,0.0000,0.0000
3.419,1,-0.0234,0.5599,0.890,0.0000,0.0000
3.488,1,-0.0304,0.5599,0.895,0.0000,0.0000
3.550,1,-0.0363,0.5594,0.901,0.0000,0.0000
3.618,1,-0.0410,0.5566,0.901,0.0000,0.0000
3.684,1,-0.0457,0.5548,0.897,0.0000,0.0000
3.750,1,-0.0500,0.5534,0.906,0.0000,0.0000
3.818,1,-0.0536,0.5530,0.907,0.0000,0.0000
3.883,1,-0.0561,0.5522,0.908,0.0000,0.0000
3.937,1,-0.0576,0.5504,0.910,0.0000,0.0000
4.045,1,-0.0582,0.5463,0.910,0.0000,0.0000
4.105,1,-0.0577,0.5425,0.908,0.0000,0.0000
4.158,1,-0.0558,0.5400,0.901,0.0000,0.0000
4.211,1,-0.0506,0.5386,0.896,0.0000,0.0000
4.281,1,-0.0431,0.5357,0.902,0.0000,0.0000
4.350,1,-0.0299,0.5335,0.894,0.0000,0.0000
4.415,1,-0.0196,0.5306,0.891,0.0000,0.0000
4.482,1,-0.0084,0.5277,0.891,0.0000,0.0000
4.549,1,-0.0005,0.5252,0.898,0.0000,0.0000
4.615,1,0.0053,0.5234,0.901,0.0000,0.0000
4.681,1,0.0099,0.5223,0.899,0.0000,0.0000
4.746,1,0.0130,0.5196,0.897,0.0000,0.0000
4.799,1,0.0150,0.5177,0.900,0.0000,0.0000
4.852,1,0.0167,0.5153,0.898,0.0000,0.0000
4.915,1,0.0151,0.5132,0.897,0.0000,0.0000
4.982,1,0.0126,0.5109,0.893,0.0000,0.0000
5.046,1,0.0102,0.5091,0.886,0.0000,0.0000
5.115,1,0.0088,0.5069,0.882,0.0000,0.0000
5.183,1,0.0061,0.5039,0.867,0.0000,0.0000
5.246,1,-0.0004,0.5005,0.876,0.0000,0.0000
5.315,1,-0.0173,0.4967,0.891,0.0412,0.0000
5.377,1,-0.0298,0.4933,0.888,0.0785,0.0000
5.447,1,-0.0424,0.4911,0.897,0.1201,0.0000
5.514,1,-0.0550,0.4882,0.913,0.1603,0.0000
5.578,1,-0.0648,0.4854,0.915,0.1990,0.0000
5.646,1,-0.0730,0.4843,0.913,0.2000,0.0000
5.713,1,-0.0787,0.4840,0.913,0.2000,0.0000
5.778,1,-0.0823,0.4838,0.912,0.2000,0.0000
5.832,1,-0.0840,0.4835,0.912,0.2000,0.0000
5.938,1,-0.0843,0.4823,0.915,0.2000,0.0000
5.999,1,-0.0834,0.4802,0.916,0.2000,0.0000
6.035,1,-0.0817,0.4783,0.916,0.2000,0.0000
6.106,1,-0.0792,0.4764,0.914,0.2000,0.0000
6.164,1,-0.0759,0.4738,0.912,0.2000,0.0000
6.262,1,-0.0720,0.4712,0.908,0.2000,0.0000
6.334,1,-0.0680,0.4691,0.907,0.2000,0.0000
6.369,1,-0.0647,0.4672,0.909,0.2000,0.0000
6.443,1,-0.0622,0.4651,0.906,0.2000,0.0000
6.479,1,-0.0602,0.4636,0.903,0.2000,0.0000
6.527,1,-0.0577,0.4625,0.898,0.2000,0.0000
6.613,1,-0.0543,0.4619,0.897,0.2000,0.0000
6.687,1,-0.0495,0.4606,0.900,0.2000,0.0000
6.740,1,-0.0439,0.4596,0.903,0.2000,0.0000
6.796,1,-0.0387,0.4599,0.901,0.2000,0.0000
6.883,1,-0.0311,0.4596,0.892,0.2000,0.0000
6.951,1,-0.0249,0.4593,0.889,0.2000,0.0000
7.024,1,-0.0228,0.4592,0.889,0.2000,0.0000
7.077,1,-0.0251,0.4595,0.895,0.2000,0.0000
7.143,1,-0.0272,0.4594,0.896,0.2000,0.0000
7.210,1,-0.0291,0.4591,0.894,0.2000,0.0000
7.274,1,-0.0314,0.4569,0.892,0.2003,0.0000
7.341,1,-0.0330,0.4554,0.892,0.2024,0.0000
7.411,1,-0.0336,0.4562,0.891,0.2014,0.0000
7.473,1,-0.0357,0.4565,0.890,0.2009,0.0000
7.542,1,-0.0402,0.4547,0.889,0.2034,0.0000
7.606,1,-0.0449,0.4551,0.888,0.2029,0.0000
7.673,1,-0.0489,0.4552,0.891,0.2028,0.0000
7.742,1,-0.0523,0.4552,0.896,0.2027,0.0000
7.806,1,-0.0556,0.4551,0.903,0.2029,0.0000
7.874,1,-0.0586,0.4553,0.909,0.2026,0.0000
7.941,1,-0.0621,0.4546,0.913,0.2035,0.0000
8.006,1,-0.0667,0.4533,0.910,0.2054,0.0000
8.074,1,-0.0722,0.4518,0.906,0.2075,0.0000
8.138,1,-0.0786,0.4502,0.905,0.2098,0.0000
8.191,1,-0.0843,0.4492,0.905,0.2111,0.0000
8.243,1,-0.0915,0.4483,0.904,0.2123,0.0000
8.305,1,-0.0987,0.4472,0.889,0.2139,0.0000
8.374,1,-0.1054,0.4462,0.888,0.2154,0.0000
8.438,1,-0.1116,0.4449,0.882,0.2171,0.0000
8.506,1,-0.1177,0.4436,0.890,0.2190,0.0000
8.574,1,-0.1234,0.4415,0.886,0.2218,0.0000
8.638,1,-0.1285,0.4404,0.886,0.2234,0.0000
8.708,1,-0.1326,0.4396,0.885,0.2245,0.0000
8.771,1,-0.1361,0.4383,0.884,0.2264,0.0000
8.839,1,-0.1380,0.4374,0.886,0.2277,0.0000
8.907,1,-0.1388,0.4364,0.886,0.2290,0.0000
8.970,1,-0.1390,0.4358,0.887,0.2299,0.0000
9.039,1,-0.1386,0.4353,0.888,0.2306,0.0000
9.106,1,-0.1381,0.4343,0.886,0.2320,0.0000
9.170,1,-0.1363,0.4336,0.889,0.2330,0.0000
9.238,1,-0.1338,0.4328,0.892,0.2341,0.0000
9.302,1,-0.1307,0.4322,0.892,0.2349,0.0000
9.371,1,-0.1260,0.4312,0.894,0.2363,0.0000
9.440,1,-0.1198,0.4306,0.898,0.2372,0.0000
9.503,1,-0.1120,0.4312,0.883,0.2364,0.0000
9.571,1,-0.1046,0.4308,0.889,0.2369,0.0000
9.639,1,-0.0958,0.4306,0.888,0.2371,0.0000
9.702,1,-0.0875,0.4300,0.890,0.2379,0.0000
9.770,1,-0.0807,0.4293,0.892,0.2390,0.0000
9.834,1,-0.0743,0.4288,0.898,0.2397,0.0000
9.888,1,-0.0686,0.4283,0.899,0.2404,0.0000
9.940,1,-0.0626,0.4281,0.893,0.2407,0.0000
10.002,1,-0.0554,0.4278,0.885,0.2410,0.0000
10.069,1,-0.0494,0.4278,0.884,0.2411,0.0000
10.135,1,-0.0451,0.4281,0.884,0.2407,0.0000
10.202,1,-0.0420,0.4283,0.884,0.2403,0.0000
10.270,1,-0.0397,0.4284,0.885,0.2402,0.0000
10.334,1,-0.0385,0.4284,0.883,0.2402,0.0000
10.403,1,-0.0379,0.4286,0.884,0.2399,0.0000
10.465,1,-0.0378,0.4287,0.884,0.2398,0.0000
10.534,1,-0.0368,0.4288,0.885,0.2397,0.0000
10.601,1,-0.0363,0.4287,0.885,0.2398,0.0000
10.667,1,-0.0359,0.4287,0.884,0.2399,0.0000
10.734,1,-0.0353,0.4286,0.884,0.2399,0.0000
