t,visible,lateral,tamano,confianza,vx,wz
1.755,1,0.0170,0.2206,0.885,0.1200,0.0000
1.954,1,0.0269,0.3533,0.898,0.2391,0.0000
2.029,1,0.0306,0.4364,0.907,0.2290,0.0000
2.105,1,0.0316,0.4862,0.906,0.2000,0.0000
2.169,1,0.0319,0.5158,0.909,0.1617,0.0000
2.232,1,0.0296,0.5335,0.908,0.1243,0.0000
2.294,1,0.0273,0.5439,0.907,0.0869,0.0000
2.367,1,0.0244,0.5505,0.905,0.0430,0.0000
2.415,1,0.0223,0.5547,0.903,0.0145,0.0000
2.470,1,0.0208,0.5573,0.904,0.0000,0.0000
2.582,1,0.0191,0.5592,0.902,0.0000,0.0000
2.668,1,0.0175,0.5606,0.901,0.0000,0.0000
2.724,1,0.0168,0.5614,0.902,0.0000,0.0000
2.787,1,0.0150,0.5629,0.904,0.0000,0.0000
2.859,1,0.0125,0.5636,0.905,0.0000,0.0000
2.916,1,0.0093,0.5646,0.897,0.0000,0.0000
2.988,1,0.0048,0.5657,0.895,0.0000,0.0000
3.052,1,-0.0019,0.5671,0.896,0.0000,0.0000
3.119,1,-0.0101,0.5686,0.904,0.0000,0.0000
3.183,1,-0.0189,0.5694,0.904,0.0000,0.0000
3.252,1,-0.0273,0.5697,0.904,0.0000,0.0000
3.339,1,-0.0369,0.5705,0.919,0.0000,0.0000
3.414,1,-0.0454,0.5714,0.917,0.0000,0.0000
3.470,1,-0.0520,0.5717,0.913,0.0000,0.0000
3.527,1,-0.0567,0.5734,0.908,0.0000,0.0000
3.576,1,-0.0601,0.5755,0.905,0.0000,0.0000
3.652,1,-0.0616,0.5786,0.905,0.0000,0.0000
3.719,1,-0.0618,0.5836,0.910,0.0000,0.0000
3.781,1,-0.0605,0.5891,0.913,0.0000,0.0000
3.864,1,-0.0571,0.5938,0.916,0.0000,0.0000
3.937,1,-0.0523,0.5975,0.914,0.0000,0.0000
3.989,1,-0.0427,0.6034,0.913,0.0000,0.0000
4.048,1,-0.0295,0.6081,0.901,0.0000,0.0000
4.127,1,-0.0167,0.6114,0.899,0.0000,0.0000
4.170,1,-0.0058,0.6155,0.904,0.0000,0.0000
4.272,1,0.0035,0.6207,0.905,0.0000,0.0000
4.339,1,0.0117,0.6263,0.914,0.0000,0.0000
4.409,1,0.0172,0.6318,0.915,0.0000,0.0000
4.448,1,0.0193,0.6380,0.914,0.0000,0.0000
4.525,1,0.0188,0.6419,0.917,0.0000,0.0000
4.567,1,0.0179,0.6460,0.919,0.0000,0.0000
4.656,1,0.0147,0.6514,0.920,0.0000,0.0000
4.723,1,0.0119,0.6564,0.920,0.0000,0.0000
4.790,1,0.0043,0.6639,0.930,0.0000,0.0000
4.832,1,-0.0056,0.6704,0.925,0.0000,0.0000
4.869,1,-0.0187,0.6774,0.918,0.0000,0.0000
4.953,1,-0.0314,0.6836,0.913,0.0000,0.0000
5.016,1,-0.0430,0.6912,0.921,0.0000,0.0000
5.081,1,-0.0521,0.6976,0.922,0.0000,0.0000
5.146,1,-0.0585,0.7037,0.922,-0.0389,0.0000
5.213,1,-0.0622,0.7098,0.920,-0.0794,0.0000
5.278,1,-0.0634,0.7172,0.922,-0.1178,0.0000
5.347,1,-0.0596,0.7246,0.931,-0.1596,0.0000
5.412,1,-0.0497,0.7327,0.934,-0.1983,0.0000
5.478,1,-0.0367,0.7395,0.927,-0.2000,0.0000
5.546,1,-0.0194,0.7472,0.928,-0.2061,0.0000
5.612,1,-0.0045,0.7550,0.929,-0.2170,0.0000
5.678,1,0.0127,0.7619,0.925,-0.2267,0.0000
5.745,1,0.0315,0.7676,0.925,-0.2347,0.0000
5.809,1,0.0440,0.7726,0.926,-0.2417,0.0000
5.881,1,0.0520,0.7790,0.929,-0.2506,0.0000
5.950,1,0.0547,0.7862,0.928,-0.2607,0.0000
6.011,1,0.0538,0.7931,0.933,-0.2703,0.0000
6.079,1,0.0469,0.8001,0.934,-0.2801,0.0000
6.147,1,0.0344,0.8082,0.931,-0.2915,0.0000
6.210,1,0.0182,0.8134,0.930,-0.2988,0.0000
6.262,1,-0.0052,0.8217,0.923,-0.3104,0.0000
6.371,1,-0.0344,0.8301,0.935,-0.3221,0.0000
6.451,1,-0.0555,0.8374,0.936,-0.3324,0.0000
6.504,1,-0.0775,0.8508,0.930,-0.3511,0.0000
6.557,1,-0.0924,0.8657,0.942,-0.3719,0.0000
6.610,1,-0.0982,0.8817,0.919,-0.3943,0.0000
6.662,1,-0.1019,0.8947,0.943,-0.4000,0.0000
6.765,1,-0.1056,0.9040,0.941,-0.4000,0.0000
6.828,1,-0.1067,0.9080,0.934,-0.4000,0.0000
6.883,1,-0.1019,0.9030,0.918,-0.4000,0.0000
6.944,1,-0.0935,0.8877,0.917,-0.4000,0.0000
7.010,1,-0.0820,0.8667,0.912,-0.3734,0.0000
7.075,1,-0.0685,0.8417,0.910,-0.3384,0.0000
7.139,1,-0.0570,0.8104,0.918,-0.2999,0.0000
7.209,1,-0.0486,0.7861,0.916,-0.2606,0.0000
7.275,1,-0.0374,0.7758,0.908,-0.2461,0.0000
7.342,1,-0.0105,0.7829,0.901,-0.2560,0.0000
7.411,1,0.0100,0.8008,0.905,-0.2811,0.0000
7.474,1,0.0333,0.8288,0.917,-0.3188,0.0000
7.542,1,0.0501,0.8584,0.920,-0.3600,0.0000
7.607,1,0.0607,0.8835,0.927,-0.3969,0.0000
7.673,1,0.0739,0.9040,0.939,-0.4000,0.0000
7.741,1,0.0835,0.9209,0.929,-0.4000,0.0000
7.804,1,0.0906,0.9328,0.937,-0.4000,0.0000
7.878,1,0.0911,0.9399,0.934,-0.4000,0.0000
7.944,1,0.0830,0.9452,0.942,-0.4000,0.0000
8.005,1,0.0659,0.9473,0.935,-0.4000,0.0000
8.075,1,0.0375,0.9440,0.940,-0.4000,0.0000
8.143,1,0.0099,0.9369,0.941,-0.4000,0.0000
8.208,1,-0.0096,0.9244,0.934,-0.4000,0.0000
8.275,1,-0.0230,0.9119,0.922,-0.4000,0.0000
8.338,1,-0.0320,0.8974,0.914,-0.4000,0.0000
8.407,1,-0.0424,0.8827,0.911,-0.3958,0.0000
8.473,1,-0.0468,0.8692,0.908,-0.3769,0.0000
8.538,1,-0.0545,0.8584,0.913,-0.3618,0.0000
8.606,1,-0.0617,0.8502,0.916,-0.3503,0.0000
8.669,1,-0.0676,0.8445,0.915,-0.3423,0.0000
8.738,1,-0.0739,0.8353,0.921,-0.3294,0.0000
8.805,1,-0.0754,0.8257,0.925,-0.3160,0.0000
8.873,1,-0.0685,0.8175,0.920,-0.3045,0.0000
8.939,1,-0.0587,0.8131,0.928,-0.2984,0.0000
9.006,1,-0.0503,0.8093,0.930,-0.2930,0.0000
9.072,1,-0.0423,0.8061,0.923,-0.2886,0.0000
9.136,1,-0.0346,0.8028,0.926,-0.2840,0.0000
9.203,1,-0.0291,0.8009,0.926,-0.2813,0.0000
9.271,1,-0.0239,0.7995,0.922,-0.2793,0.0000
9.338,1,-0.0193,0.8002,0.914,-0.2803,0.0000
9.402,1,-0.0161,0.8024,0.916,-0.2833,0.0000
9.470,1,-0.0157,0.8062,0.916,-0.2887,0.0000
9.536,1,-0.0196,0.8119,0.919,-0.2967,0.0000
9.603,1,-0.0275,0.8189,0.918,-0.3064,0.0000
